"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.859852650E-1,-3.382852972E-1,-1.002532864E1,5.712864175E-2
8.884739110E-1,-3.622135222E-1,-1.003489971E1,5.473581702E-2
8.909626090E-1,-3.909274042E-1,-1.001336479E1,4.277170449E-2
8.934047960E-1,-4.677968323E-1,-1.003011417E1,4.486542661E-3
8.958934420E-1,-5.443671346E-1,-1.006630611E1,1.884347759E-2
8.983820880E-1,-6.041877270E-1,-1.005434132E1,1.405783277E-2
9.008707860E-1,-6.520441771E-1,-1.003759193E1,1.166501082E-2
9.033593800E-1,-6.927221417E-1,-1.005434132E1,-7.477570791E-3
9.058480780E-1,-7.528418303E-1,-1.005194855E1,-2.991028305E-4
9.083367240E-1,-8.341978192E-1,-1.007348442E1,-9.870393202E-3
9.108253690E-1,-8.868398666E-1,-1.007587719E1,-2.662015148E-2
9.133140150E-1,-9.466604590E-1,-1.006869888E1,-2.901297435E-2
9.158027130E-1,-1.006780148E0,-1.009262657E1,-1.226321608E-2
9.182913590E-1,-1.023529887E0,-1.012851906E1,-6.251249462E-2
9.207800050E-1,-1.071386337E0,-1.012851906E1,-3.619144112E-2
9.232005260E-1,-1.035493970E0,-1.015723324E1,-2.422732860E-2
9.256891710E-1,-1.045065284E0,-1.009501934E1,-4.336991161E-2
9.281778170E-1,-1.061815023E0,-1.007348442E1,-6.490531564E-2
9.306664630E-1,-1.071386337E0,-1.013330460E1,-1.274178028E-1
9.331551090E-1,-1.121635556E0,-1.013569736E1,-1.704886109E-1
9.356438070E-1,-1.124028444E0,-1.015723324E1,-1.944168359E-1
9.381324530E-1,-1.124028444E0,-1.016680431E1,-2.255235314E-1
9.406210990E-1,-1.112064362E0,-1.018594646E1,-1.968096644E-1
9.431097440E-1,-1.035493970E0,-1.019791126E1,-1.680957973E-1
9.455983900E-1,-9.466604590E-1,-1.009501934E1,-1.127617657E-1
9.480870360E-1,-8.413762450E-1,-1.009262657E1,-7.208377868E-2
9.505757340E-1,-7.552346587E-1,-1.006391335E1,2.123630047E-2
