"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.124197505E0,3.753692508E-1,8.370494843E-2,-3.064841777E-2
1.129135994E0,4.259580970E-1,6.879806519E-2,-9.084446728E-2
1.134111724E0,3.971502185E-1,6.118106842E-2,-1.065084934E-1
1.139087453E0,3.336669207E-1,3.940200806E-2,-1.456214041E-1
1.144063182E0,2.337329984E-1,-2.378463745E-3,-1.345800757E-1
1.149038911E0,1.193441749E-1,-3.438949585E-3,-1.058791354E-1
1.154014640E0,-5.058276653E-2,-8.647918701E-2,-1.559107602E-1
1.158951411E0,-2.882264256E-1,-1.736412048E-1,-1.654214412E-1
1.163927140E0,-5.021104217E-1,-2.316694260E-1,-6.729246676E-2
1.168902869E0,-6.069903374E-1,-2.726812363E-1,6.014784053E-2
1.173878599E0,-6.249265671E-1,-2.635755539E-1,2.309047729E-1
1.178854328E0,-6.460130811E-1,-2.332639694E-1,3.198606670E-1
1.183830057E0,-6.404800415E-1,-1.902437210E-1,3.538025022E-1
1.188768078E0,-5.292643309E-1,-1.156005859E-1,3.226026297E-1
1.193743807E0,-3.824226260E-1,-1.196193695E-2,2.424444407E-1
1.198719536E0,-2.327765822E-1,5.249023438E-3,1.126400828E-1
1.203695265E0,-1.434032321E-1,4.840755463E-2,-8.858419955E-3
1.208670994E0,-7.863467932E-2,7.457065582E-2,-8.884621412E-2
1.213646724E0,9.584426880E-4,8.863353729E-2,-1.740743667E-1
1.218597453E0,2.344435453E-2,6.698226929E-2,-1.847423166E-1
1.223573182E0,4.770046473E-2,6.928825378E-2,-1.489937603E-1
1.228548911E0,8.285301924E-2,9.301185608E-2,-1.371766180E-1
1.233524640E0,1.346977353E-1,1.094675064E-1,-1.298497617E-1
1.238500369E0,1.318274736E-1,1.139717102E-1,-1.614978909E-1
1.243476099E0,1.112623215E-1,7.813644409E-2,-2.139401734E-1
1.248395057E0,1.065366268E-1,8.068275452E-2,-2.427261770E-1
1.253370786E0,1.258599758E-1,9.396839142E-2,-2.791481614E-1
1.258346515E0,1.215730906E-1,6.207847595E-2,-2.873460948E-1
1.263322244E0,1.032988429E-1,3.884506226E-2,-2.925418913E-1
1.268297974E0,1.045923233E-1,4.793739319E-2,-2.048429251E-1
1.273273703E0,1.607676744E-1,2.614688873E-2,-1.175849959E-1
1.278236515E0,1.789794564E-1,2.359676361E-2,-2.148642391E-2
1.283212244E0,2.021700740E-1,3.063774109E-2,6.541772932E-2
1.288187974E0,2.255180478E-1,4.956436157E-2,1.504280865E-1
1.293163703E0,2.371451855E-1,8.859252930E-2,1.777560413E-1
1.298139432E0,2.351122499E-1,8.932590485E-2,6.707230955E-2
1.303115161E0,1.363441944E-1,8.653068542E-2,-6.494230777E-2
1.308031776E0,-1.907169819E-3,6.355285645E-2,-1.681042910E-1
1.313007505E0,-1.695114970E-1,-4.241180420E-2,-2.500157356E-1
1.317983234E0,-4.182308316E-1,-8.934688568E-2,-2.644851804E-1
1.322958963E0,-5.261034966E-1,-1.205310822E-1,-1.480056942E-1
1.327934692E0,-6.189750433E-1,-1.515407562E-1,-3.346658498E-2
1.332910421E0,-5.782474279E-1,-1.669330597E-1,6.847521663E-2
1.337848026E0,-5.395421386E-1,-1.715641022E-1,1.256217808E-1
1.342823755E0,-4.801306725E-1,-1.952266693E-1,1.357014924E-1
1.347799484E0,-3.757134676E-1,-1.391429901E-1,1.361027062E-1
1.352775213E0,-2.197217941E-1,-8.947944641E-2,1.232990324E-1
1.357750942E0,-8.865833282E-2,-2.123737335E-2,1.058725789E-1
1.362726671E0,5.300480127E-2,4.875183105E-3,7.935313880E-2
1.367663963E0,1.503446698E-1,4.980468750E-2,5.194780976E-2
1.372639692E0,1.659042239E-1,7.536697388E-2,1.091263443E-2
1.377615421E0,1.916546822E-1,7.817745209E-2,1.539112628E-2
1.382591151E0,1.766440868E-1,8.810138702E-2,2.599139512E-2
1.387566880E0,1.177300811E-1,8.013248444E-2,1.738390326E-2
1.392542609E0,3.351151943E-2,3.775405884E-2,1.484506577E-2
1.397481359E0,-7.671451569E-2,-4.232978821E-2,-1.868385077E-2
1.402457088E0,-2.208086252E-1,-9.687423706E-2,-4.002726078E-2
1.407432817E0,-3.434993625E-1,-1.023683548E-1,-4.826039076E-2
1.412408546E0,-4.387437701E-1,-1.554536819E-1,-4.951319098E-2
1.417384276E0,-4.749904871E-1,-1.844491959E-1,2.711653709E-3
1.422360005E0,-4.147000909E-1,-2.061901093E-1,3.778365254E-2
1.427298859E0,-3.207895756E-1,-1.577510834E-1,8.887414634E-2
1.432274588E0,-1.735546589E-1,-1.085939407E-1,9.527017176E-2
1.437250317E0,-5.563467741E-2,-6.463432312E-2,1.390867531E-1
1.442226046E0,3.649109602E-2,-2.224445343E-2,1.761466265E-1
1.447201776E0,1.110858917E-1,3.762054443E-2,2.218291759E-1
1.452177505E0,1.988365650E-1,1.112890244E-1,3.031176925E-1
1.457114432E0,2.494716644E-1,1.202707291E-1,3.015010953E-1
1.462090161E0,2.692676783E-1,1.541919708E-1,2.626976967E-1
1.467065890E0,3.152266741E-1,1.712942123E-1,1.622005105E-1
1.472041619E0,2.945172787E-1,1.812171936E-1,4.226043820E-3
1.477017349E0,2.539458275E-1,1.353292465E-1,-5.609165132E-2
1.481993078E0,1.866840124E-1,1.124706268E-1,-1.596115232E-1
1.486932974E0,8.714902401E-2,6.967735291E-2,-2.950237989E-1
1.491908703E0,-5.123800039E-2,2.334594727E-3,-3.611432612E-1
1.496884432E0,-1.449009180E-1,-5.016422272E-2,-3.192749918E-1
1.501860161E0,-1.752401590E-1,-5.230808258E-2,-2.725777030E-1
1.506835890E0,-1.649922132E-1,-7.938003540E-2,-1.557134390E-1
1.511811619E0,-1.266904473E-1,-5.868530273E-2,-7.042011619E-2
1.516747349E0,-2.378207445E-2,-5.118942261E-2,4.379354417E-2
1.521723078E0,8.738541603E-2,-3.777694702E-2,1.260284185E-1
1.526698807E0,1.187891364E-1,-1.862525940E-3,1.634459347E-1
1.531674536E0,1.520441771E-1,1.003074646E-2,2.025039196E-1
1.536650265E0,1.560165286E-1,5.246162415E-3,2.375032902E-1
1.541625994E0,1.777898073E-1,4.089164734E-2,2.231476307E-1
1.546563494E0,1.433222294E-1,3.469181061E-2,1.897969693E-1
1.551539224E0,7.135558128E-2,2.852058411E-2,1.033295095E-1
1.556514953E0,-4.592233896E-2,4.136657715E-2,2.816005051E-2
1.561490682E0,-7.618540525E-2,2.436065674E-2,-3.323706985E-2
1.566466411E0,-1.117476821E-1,7.450103760E-3,-1.221309900E-1
1.571442140E0,-1.392967105E-1,-9.384155273E-3,-1.908340454E-1
1.576378078E0,-1.151191592E-1,1.306819916E-2,-1.978934705E-1
1.581352505E0,-8.470839262E-2,-3.837013245E-2,-1.734075546E-1
1.586326984E0,-6.971013546E-2,-5.615901947E-2,-1.391763985E-1
1.591301463E0,2.111846209E-2,-5.598449707E-2,-5.395604670E-2
1.596275890E0,8.014869690E-2,-7.717704773E-2,1.282671094E-2
1.601250369E0,4.706859589E-2,-1.326255798E-1,4.942683876E-2
1.606195057E0,-2.599579096E-2,-1.460466385E-1,8.418540657E-2
