"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.421756820E-1,4.940018058E-2,-5.579157919E-2,-8.255556226E-3
8.446643800E-1,4.513924941E-2,-5.472634733E-2,-9.320789017E-3
8.471530260E-1,4.620448127E-2,-5.259587988E-2,-1.038602181E-2
8.496416710E-1,4.407401755E-2,-4.620448127E-2,-1.464695390E-2
8.521303170E-1,4.620448127E-2,-3.768261895E-2,-1.784265228E-2
8.546189630E-1,4.833494872E-2,-3.022598661E-2,-1.997311972E-2
8.571076090E-1,4.513924941E-2,-2.276935615E-2,-2.529928461E-2
8.595963070E-1,4.407401755E-2,-1.438064594E-2,-2.849498391E-2
8.620374010E-1,4.194355011E-2,-1.011971384E-2,-3.808208182E-2
8.645260460E-1,4.087831825E-2,-5.858781748E-3,-4.447348043E-2
8.670146920E-1,3.768261895E-2,-5.326165119E-4,-5.299534276E-2
8.695033380E-1,3.448691964E-2,1.597849536E-3,-5.193011090E-2
8.719919840E-1,3.342168778E-2,5.326165119E-4,-5.938674137E-2
8.744806820E-1,2.916075476E-2,1.597849536E-3,-6.577813625E-2
8.769693280E-1,2.596505545E-2,4.793548491E-3,-6.684337556E-2
8.794579740E-1,2.596505545E-2,6.924014539E-3,-7.536523789E-2
8.819466190E-1,2.170412242E-2,1.118494663E-2,-7.643046975E-2
8.844352650E-1,1.850842312E-2,1.544587873E-2,-7.749570161E-2
8.869239110E-1,1.957365684E-2,2.077204362E-2,-8.282186836E-2
8.894126090E-1,2.063889056E-2,2.822867595E-2,-8.495233208E-2
8.918547960E-1,1.637795754E-2,3.142437339E-2,-8.601756394E-2
8.943434420E-1,1.744319126E-2,3.675054014E-2,-8.282186836E-2
8.968320880E-1,1.531272475E-2,4.207670316E-2,-7.856093347E-2
8.993207860E-1,1.424749196E-2,4.420717061E-2,-7.216953486E-2
9.018093800E-1,1.424749196E-2,4.207670316E-2,-6.577813625E-2
9.042980780E-1,1.531272475E-2,3.781577200E-2,-6.258244067E-2
9.067867240E-1,1.211702544E-2,3.675054014E-2,-5.299534276E-2
9.092753690E-1,1.424749196E-2,3.568530455E-2,-4.021254554E-2
9.117640150E-1,1.211702544E-2,2.822867595E-2,-3.275591508E-2
9.142527130E-1,1.424749196E-2,2.503297664E-2,-2.210358530E-2
9.167413590E-1,1.531272475E-2,2.077204362E-2,-6.125089712E-3
9.192300050E-1,1.318225823E-2,1.757634431E-2,6.657706574E-3
9.216505260E-1,1.105179265E-2,1.651111245E-2,1.944050193E-2
9.241391710E-1,9.986559860E-3,1.544587873E-2,3.328853101E-2
9.266278170E-1,8.921326138E-3,1.438064594E-2,4.394086078E-2
9.291164630E-1,1.211702544E-2,1.438064594E-2,5.672365800E-2
9.316051090E-1,4.660394508E-3,1.118494663E-2,6.737598777E-2
9.340938070E-1,-2.796236658E-3,4.793548491E-3,8.122401685E-2
9.365824530E-1,-2.796236658E-3,-3.728315700E-3,9.400681406E-2
9.390710990E-1,-3.861469682E-3,-1.850842312E-2,1.046591476E-1
9.415597440E-1,-4.926702939E-3,-2.596505545E-2,1.110505462E-1
9.440483900E-1,-7.057168987E-3,-3.235645220E-2,1.217028722E-1
9.465370360E-1,-9.187635034E-3,-3.768261895E-2,1.302247345E-1
9.490257340E-1,-9.187635034E-3,-3.555215150E-2,1.366161406E-1
9.514869320E-1,-8.122402243E-3,-3.235645220E-2,1.376813650E-1
9.539755780E-1,-1.131810062E-2,-2.170412242E-2,1.376813650E-1
9.564642240E-1,-1.557903271E-2,-6.924014539E-3,1.344856620E-1
9.589528690E-1,-9.187635034E-3,6.924014539E-3,1.334204376E-1
9.614415150E-1,-1.025286783E-2,1.864157803E-2,1.259638071E-1
9.639302130E-1,-1.131810062E-2,3.355484083E-2,1.153114736E-1
9.664188590E-1,-8.122402243E-3,4.633763805E-2,1.078548431E-1
9.689075050E-1,-1.731003635E-3,5.379426852E-2,1.014634445E-1
9.713961510E-1,-2.796236658E-3,6.018566713E-2,8.548495173E-2
9.738847960E-1,-6.657706108E-4,6.551183015E-2,7.163692266E-2
9.763734420E-1,3.595161485E-3,7.190322876E-2,6.311506033E-2
9.788621400E-1,8.921326138E-3,7.403369248E-2,5.459319428E-2
9.813028170E-1,1.531272475E-2,7.403369248E-2,4.287562892E-2
